player_id,player_name,level,games_played,at_bats,runs,hits,doubles,triples,home_runs,rbi,walks,strikeouts_batting,stolen_bases,caught_stealing,left_on_base,ground_into_double_play,innings_pitched,hits_allowed,runs_allowed,earned_runs,walks_allowed,strikeouts_pitching,home_runs_allowed,inherited_runners,inherited_runners_scored,batting_average,on_base_percentage,slugging_percentage,era,whip,strike_percentage,ops,primary_position
687793,Nick Vogt,A+,1,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,NA,NA,0,1,Batter
687798,Nick Robertson,AAA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,6,4,4,1,0,1,0,0,NA,NA,NA,30,5.833333333333334,68.92857142857143,NA,Pitcher
687799,Cade Marlowe,AAA,2,8,2,2,0,0,0,1,1,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0.25,0.3333333333333333,0.25,NA,NA,0,0.5833333333333333,Batter
687817,Andrew Marrero,AA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,NA,NA,NA,0,2,73.68421052631578,NA,Pitcher
687823,Aaron Shackelford,AA,1,4,3,3,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,2,NA,NA,0,2.75,Batter
687825,Tyler Santana,A+,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,0,4,1,0,0,NA,NA,NA,6.75,1,62.56684491978609,NA,Pitcher
687833,Shayne Fontana,AAA,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,NA,NA,0,0.5,Batter
687836,Jason Blanchard,AA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,3,4,4,1,0,0,1,1,NA,NA,NA,180,20,51.85185185185185,NA,Pitcher
687841,Andrew Magno,AA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,4,0,0,0,NA,NA,NA,0,2,64.1025641025641,NA,Pitcher
687841,Andrew Magno,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,NA,NA,NA,9,2,54.347826086956516,NA,Pitcher
